quizzes,solutions
080402003200015708006380140060040005408070060970000030000001004050060020730200910,187492653243615798596387142362149875418573269975826431629731584851964327734258916
002000540007630000180050072300100060024003080610205007456080009070000031000094800,962817543547632918183459672395178264724963185618245397456381729879526431231794856
034700089700004006009820705913000050000030008250690400090072001800500300647001000,534716289782954136169823745913248657476135928258697413395472861821569374647381592
080010046003000009745002300320704005067500090000080100052003860000400003008059021,289317546613845279745962318321794685867531492594286137952173864176428953438659721
086000040531000002200058007007096035005820090640700010063071800400060320000400009,786912543531647982294358167827196435315824796649735218963271854478569321152483679
503014600002900473070028090018609500000470000000085230000063710400000000007200980,593714628182956473674328195218639547935472861746185239829563714461897352357241986
002740001730001080040026900600070000000030605154000000005068407820094300009300800,982743561736951284541826973693475128278139645154682739315268497827594316469317852
507900002042050309000400800806103004050020007014009060270800096000000530190006000,587931642642758319931462875826173954359624187714589263273815496468297531195346728
080060053300809002009001470000786100000200564210900000800307040532000006704000801,187462953345879612629531478453786129978213564216954387861397245532148796794625831
000700302020190540100800060869000400004005073003002001080200000951030086600000907,498756312726193548135824769869371425214985673573642891387269154951437286642518937
020094060300650402008000700800500090001206000050370610096730004002908570007010030,725894163319657482648123759863541297971286345254379618196735824432968571587412936
048300690006108002293070500001000870000450900624000000035740001700002403000806000,148325697576198342293674518951263874387451926624987135835749261769512483412836759
031490000670002010000800506043500008807000002200001049080000093905204000014070060,531496827678352914429817536143529678897643152256781349782165493965234781314978265
103000000020176000904000620005418002000067840007520003006082304080000950090003070,163294587528176439974835621635418792219367845847529163756982314382741956491653278
570800249000000680000027000040030051310208904600510000109006008260403000004080390,573861249921345687486927513842639751315278964697514832139756428268493175754182396
000036000700002940053417200090003680800000021004500070000104006301700500640090700,482936157716852943953417268197243685835679421264581379579124836321768594648395712
003091006890004020076380005005000700207000630040006901080029000050030810100650074,523791486891564327476382195965813742217945638348276951784129563652437819139658274
407000158030280000609004003205000900704690832003710006000021604000000005900460700,427936158531287469689154273265348917714695832893712546378521694146879325952463781
000008100012630408008201073040300005026000090500040700030506000084900021701800630,375498162912637458468251973847369215126785394593142786239516847684973521751824639
008594010020700603701002008090008300063170020002000005000600070507009206080010049,638594712924781653751362498195428367863175924472936185249653871517849236386217549
401005008000700600090130050070008923000627100005000000018052700004009280603000090,461295378532784619897136452176548923389627145245913867918452736754369281623871594
000490380020000400006508000405060807080010030902007061003970010108002000760003090,571496382829731456346528179415369827687215934932847561253974618198652743764183295
056000023304060708000004050637050809010900500800007062200800000049000001100290304,956718423324569718781324956637152849412986537895437162273841695549673281168295374
250304000170520900006000800020019078000000000047800560300107002600400150005008009,259384716178526934436971825523619478861745293947832561394157682682493157715268349
050001278079400300000600005002087000000002891003500060010703000608040057005010420,456931278879425316321678945962187534547362891183594762214753689638249157795816423
002080070000090452500000309879036001006001000030042008041008603200104000007000500,392485176718693452564217389879536241426871935135942768941758623253164897687329514
800100730050006010003804002000009408200070360614020009020580900760000000409003150,846192735952736814173854692537619428298475361614328579321587946765941283489263157
090310406050007020108200300000050608024680009009004000600120900002540083001000002,297318456356497821148265397713952648524681739869734215685123974972546183431879562
501906000900402083000058160063005004140083020000070300400020050002009008735000490,581936247976412583324758169263195874147683925859274316498327651612549738735861492
050020684080004000703005090020090000071080035605401000002030009400008061060009207,159327684286914573743865192824593716971682435635471928512736849497258361368149257
000800000625000030109700020790240060064030109501000700000604005300195008907020004,473862951625419837189753426798241563264537189531986742812674395346195278957328614
046108000080940050020570400012600080000000007659030020071000005000002360300451900,546128739187943256923576418712694583834215697659837124271369845495782361368451972
085000913003009600460000080300160008890040052007002400002510040700200060041600075,285476913173859624469321587324165798896743152517982436632517849758294361941638275
006008090190070300450001082062007004004005078800930500087100000300520010010000649,726358491198472365453691782562817934934265178871934526687149253349526817215783649
600345000702000000000000138009570203040080090201000060097008026005906407000054380,618345972732819654954267138869571243543682791271493865497138526385926417126754389
037009508000001000008200360020305096051008030070060100290104070006070802000020410,137649528562831947948257361824315796651798234379462185295184673416973852783526419
304000608060400091071820050809100360000290000047035000000009530500000804700060210,354971628268453791971826453829147365635298147147635982412789536596312874783564219
080120004407306010000045003000004067004813500928000000600900058001070090370500042,583129674497386215216745983135294867764813529928657431642931758851472396379568142
000010080005630004940002010500000090680400502129000600008160257000000030030079008,362914785815637924947852316574326891683491572129785643498163257756248139231579468
500007300030260000078430905600100807090048006001020040047002009000580030100906002,516897324439265178278431965624153897395748216781629543847312659962584731153976482
490000600000300800528070300160800094005006000302540010200407080801020007000180903,493258671716394852528671349167832594945716238382549716239467185851923467674185923
501093002360000000009486005600020000450017000032000178040900600070001830090038700,581793462364152987729486315617829543458317296932564178843975621275641839196238754
000007950100362000078000000006904027800106300003200015002090560450000070361080002,234817956195362784678549231516934827827156349943278615782491563459623178361785492
000020500051806070390407010740003900002040005000001680060302800907000352400080090,874129563251836479396457218748563921612948735539271684165392847987614352423785196
090278040540900000002000630006010000000500200079036001020400907010057380800000504,693278145541963728782145639456712893138594276279836451325481967914657382867329514
007054008801037900000100030560000002902570080000048000300001207059020604014000090,637954128821637945495182736568319472942576381173248569386491257759823614214765893
